mnth,yr,cnt,dteday
11,0,2914,2011-11-29
11,0,3613,2011-11-30
12,0,3727,2011-12-01
12,0,3940,2011-12-02
12,0,3614,2011-12-03
12,0,3485,2011-12-04
12,0,3811,2011-12-05
12,0,2594,2011-12-06
12,0,705,2011-12-07
12,0,3322,2011-12-08
12,0,3620,2011-12-09
12,0,3190,2011-12-10
12,0,2743,2011-12-11
12,0,3310,2011-12-12
12,0,3523,2011-12-13
12,0,3740,2011-12-14
12,0,3709,2011-12-15
12,0,3577,2011-12-16
12,0,2739,2011-12-17
12,0,2431,2011-12-18
12,0,3403,2011-12-19
12,0,3750,2011-12-20
12,0,2660,2011-12-21
12,0,3068,2011-12-22
12,0,2209,2011-12-23
12,0,1011,2011-12-24
12,0,754,2011-12-25
12,0,1317,2011-12-26
12,0,1162,2011-12-27
12,0,2302,2011-12-28
12,0,2423,2011-12-29
12,0,2999,2011-12-30
12,0,2485,2011-12-31
1,1,2294,2012-01-01
1,1,1951,2012-01-02
1,1,2236,2012-01-03
1,1,2368,2012-01-04
1,1,3272,2012-01-05
1,1,4098,2012-01-06
1,1,4521,2012-01-07
1,1,3425,2012-01-08
1,1,2376,2012-01-09
1,1,3598,2012-01-10
1,1,2177,2012-01-11
1,1,4097,2012-01-12
1,1,3214,2012-01-13
1,1,2493,2012-01-14
1,1,2311,2012-01-15
1,1,2298,2012-01-16
1,1,2935,2012-01-17
1,1,3376,2012-01-18
1,1,3292,2012-01-19
1,1,3163,2012-01-20
1,1,1301,2012-01-21
1,1,1977,2012-01-22
1,1,2432,2012-01-23
1,1,4339,2012-01-24
1,1,4270,2012-01-25
1,1,4075,2012-01-26
1,1,3456,2012-01-27
1,1,4023,2012-01-28
1,1,3243,2012-01-29
1,1,3624,2012-01-30
1,1,4509,2012-01-31
2,1,4579,2012-02-01
2,1,3761,2012-02-02
2,1,4151,2012-02-03
2,1,2832,2012-02-04
2,1,2947,2012-02-05
2,1,3784,2012-02-06
2,1,4375,2012-02-07
2,1,2802,2012-02-08
2,1,3830,2012-02-09
2,1,3831,2012-02-10
2,1,2169,2012-02-11
2,1,1529,2012-02-12
2,1,3422,2012-02-13
2,1,3922,2012-02-14
2,1,4169,2012-02-15
2,1,3005,2012-02-16
2,1,4154,2012-02-17
2,1,4318,2012-02-18
2,1,2689,2012-02-19
2,1,3129,2012-02-20
2,1,3777,2012-02-21
2,1,4773,2012-02-22
2,1,5062,2012-02-23
2,1,3487,2012-02-24
2,1,2732,2012-02-25
2,1,3389,2012-02-26
2,1,4322,2012-02-27
2,1,4363,2012-02-28
2,1,1834,2012-02-29
3,1,4990,2012-03-01
3,1,3194,2012-03-02
3,1,4066,2012-03-03
3,1,3423,2012-03-04
3,1,3333,2012-03-05
3,1,3956,2012-03-06
3,1,4916,2012-03-07
3,1,5382,2012-03-08
3,1,4569,2012-03-09
3,1,4118,2012-03-10
3,1,4911,2012-03-11
3,1,5298,2012-03-12
3,1,5847,2012-03-13
3,1,6312,2012-03-14
3,1,6192,2012-03-15
3,1,4378,2012-03-16
3,1,7836,2012-03-17
3,1,5892,2012-03-18
3,1,6153,2012-03-19
3,1,6093,2012-03-20
3,1,6230,2012-03-21
3,1,6871,2012-03-22
3,1,8362,2012-03-23
3,1,3372,2012-03-24
3,1,4996,2012-03-25
3,1,5558,2012-03-26
3,1,5102,2012-03-27
3,1,5698,2012-03-28
3,1,6133,2012-03-29
3,1,5459,2012-03-30
3,1,6235,2012-03-31
4,1,6041,2012-04-01
4,1,5936,2012-04-02
4,1,6772,2012-04-03
4,1,6436,2012-04-04
4,1,6457,2012-04-05
4,1,6460,2012-04-06
4,1,6857,2012-04-07
4,1,5169,2012-04-08
4,1,5585,2012-04-09
4,1,5918,2012-04-10
4,1,4862,2012-04-11
4,1,5409,2012-04-12
4,1,6398,2012-04-13
4,1,7460,2012-04-14
4,1,7132,2012-04-15
4,1,6370,2012-04-16
4,1,6691,2012-04-17
4,1,4367,2012-04-18
4,1,6565,2012-04-19
4,1,7290,2012-04-20
4,1,6624,2012-04-21
4,1,1027,2012-04-22
4,1,3214,2012-04-23
4,1,5633,2012-04-24
4,1,6196,2012-04-25
4,1,5026,2012-04-26
4,1,6233,2012-04-27
4,1,4220,2012-04-28
4,1,6304,2012-04-29
4,1,5572,2012-04-30
5,1,5740,2012-05-01
5,1,6169,2012-05-02
5,1,6421,2012-05-03
5,1,6296,2012-05-04
5,1,6883,2012-05-05
5,1,6359,2012-05-06
5,1,6273,2012-05-07
5,1,5728,2012-05-08
5,1,4717,2012-05-09
5,1,6572,2012-05-10
5,1,7030,2012-05-11
5,1,7429,2012-05-12
5,1,6118,2012-05-13
5,1,2843,2012-05-14
5,1,5115,2012-05-15
5,1,7424,2012-05-16
5,1,7384,2012-05-17
5,1,7639,2012-05-18
5,1,8294,2012-05-19
5,1,7129,2012-05-20
5,1,4359,2012-05-21
5,1,6073,2012-05-22
5,1,5260,2012-05-23
5,1,6770,2012-05-24
5,1,6734,2012-05-25
5,1,6536,2012-05-26
5,1,6591,2012-05-27
5,1,6043,2012-05-28
5,1,5743,2012-05-29
5,1,6855,2012-05-30
5,1,7338,2012-05-31
6,1,4127,2012-06-01
6,1,8120,2012-06-02
6,1,7641,2012-06-03
6,1,6998,2012-06-04
6,1,7001,2012-06-05
6,1,7055,2012-06-06
6,1,7494,2012-06-07
6,1,7736,2012-06-08
6,1,7498,2012-06-09
6,1,6598,2012-06-10
6,1,6664,2012-06-11
6,1,4972,2012-06-12
6,1,7421,2012-06-13
6,1,7363,2012-06-14
6,1,7665,2012-06-15
6,1,7702,2012-06-16
6,1,6978,2012-06-17
6,1,5099,2012-06-18
6,1,6825,2012-06-19
6,1,6211,2012-06-20
6,1,5905,2012-06-21
6,1,5823,2012-06-22
6,1,7458,2012-06-23
6,1,6891,2012-06-24
6,1,6779,2012-06-25
6,1,7442,2012-06-26
6,1,7335,2012-06-27
6,1,6879,2012-06-28
6,1,5463,2012-06-29
6,1,5687,2012-06-30
7,1,5531,2012-07-01
7,1,6227,2012-07-02
7,1,6660,2012-07-03
7,1,7403,2012-07-04
7,1,6241,2012-07-05
7,1,6207,2012-07-06
7,1,4840,2012-07-07
7,1,4672,2012-07-08
7,1,6569,2012-07-09
7,1,6290,2012-07-10
7,1,7264,2012-07-11
7,1,7446,2012-07-12
7,1,7499,2012-07-13
7,1,6969,2012-07-14
7,1,6031,2012-07-15
7,1,6830,2012-07-16
7,1,6786,2012-07-17
7,1,5713,2012-07-18
7,1,6591,2012-07-19
7,1,5870,2012-07-20
7,1,4459,2012-07-21
7,1,7410,2012-07-22
7,1,6966,2012-07-23
7,1,7592,2012-07-24
7,1,8173,2012-07-25
7,1,6861,2012-07-26
7,1,6904,2012-07-27
7,1,6685,2012-07-28
7,1,6597,2012-07-29
7,1,7105,2012-07-30
7,1,7216,2012-07-31
8,1,7580,2012-08-01
8,1,7261,2012-08-02
8,1,7175,2012-08-03
8,1,6824,2012-08-04
8,1,5464,2012-08-05
8,1,7013,2012-08-06
8,1,7273,2012-08-07
8,1,7534,2012-08-08
8,1,7286,2012-08-09
8,1,5786,2012-08-10
8,1,6299,2012-08-11
8,1,6544,2012-08-12
8,1,6883,2012-08-13
8,1,6784,2012-08-14
8,1,7347,2012-08-15
8,1,7605,2012-08-16
8,1,7148,2012-08-17
8,1,7865,2012-08-18
8,1,4549,2012-08-19
8,1,6530,2012-08-20
8,1,7006,2012-08-21
8,1,7375,2012-08-22
8,1,7765,2012-08-23
8,1,7582,2012-08-24
8,1,6053,2012-08-25
8,1,5255,2012-08-26
8,1,6917,2012-08-27
8,1,7040,2012-08-28
8,1,7697,2012-08-29
8,1,7713,2012-08-30
8,1,7350,2012-08-31
9,1,6140,2012-09-01
9,1,5810,2012-09-02
9,1,6034,2012-09-03
9,1,6864,2012-09-04
9,1,7112,2012-09-05
9,1,6203,2012-09-06
9,1,7504,2012-09-07
9,1,5976,2012-09-08
9,1,8227,2012-09-09
9,1,7525,2012-09-10
9,1,7767,2012-09-11
9,1,7870,2012-09-12
9,1,7804,2012-09-13
9,1,8009,2012-09-14
9,1,8714,2012-09-15
9,1,7333,2012-09-16
9,1,6869,2012-09-17
9,1,4073,2012-09-18
9,1,7591,2012-09-19
9,1,7720,2012-09-20
9,1,8167,2012-09-21
9,1,8395,2012-09-22
9,1,7907,2012-09-23
9,1,7436,2012-09-24
9,1,7538,2012-09-25
9,1,7733,2012-09-26
9,1,7393,2012-09-27
9,1,7415,2012-09-28
9,1,8555,2012-09-29
9,1,6889,2012-09-30
10,1,6778,2012-10-01
10,1,4639,2012-10-02
10,1,7572,2012-10-03
10,1,7328,2012-10-04
10,1,8156,2012-10-05
10,1,7965,2012-10-06
10,1,3510,2012-10-07
10,1,5478,2012-10-08
10,1,6392,2012-10-09
10,1,7691,2012-10-10
10,1,7570,2012-10-11
10,1,7282,2012-10-12
10,1,7109,2012-10-13
10,1,6639,2012-10-14
10,1,5875,2012-10-15
10,1,7534,2012-10-16
10,1,7461,2012-10-17
10,1,7509,2012-10-18
10,1,5424,2012-10-19
10,1,8090,2012-10-20
10,1,6824,2012-10-21
10,1,7058,2012-10-22
10,1,7466,2012-10-23
10,1,7693,2012-10-24
10,1,7359,2012-10-25
10,1,7444,2012-10-26
10,1,7852,2012-10-27
10,1,4459,2012-10-28
10,1,22,2012-10-29
10,1,1096,2012-10-30
10,1,5566,2012-10-31
11,1,5986,2012-11-01
11,1,5847,2012-11-02
11,1,5138,2012-11-03
11,1,5107,2012-11-04
11,1,5259,2012-11-05
11,1,5686,2012-11-06
11,1,5035,2012-11-07
11,1,5315,2012-11-08
11,1,5992,2012-11-09
11,1,6536,2012-11-10
11,1,6852,2012-11-11
11,1,6269,2012-11-12
11,1,4094,2012-11-13
11,1,5495,2012-11-14
11,1,5445,2012-11-15
11,1,5698,2012-11-16
11,1,5629,2012-11-17
11,1,4669,2012-11-18
11,1,5499,2012-11-19
11,1,5634,2012-11-20
11,1,5146,2012-11-21
11,1,2425,2012-11-22
11,1,3910,2012-11-23
11,1,2277,2012-11-24
11,1,2424,2012-11-25
11,1,5087,2012-11-26
11,1,3959,2012-11-27
11,1,5260,2012-11-28
11,1,5323,2012-11-29
11,1,5668,2012-11-30
12,1,5191,2012-12-01
12,1,4649,2012-12-02
12,1,6234,2012-12-03
12,1,6606,2012-12-04
12,1,5729,2012-12-05
12,1,5375,2012-12-06
12,1,5008,2012-12-07
12,1,5582,2012-12-08
12,1,3228,2012-12-09
12,1,5170,2012-12-10
12,1,5501,2012-12-11
12,1,5319,2012-12-12
12,1,5532,2012-12-13
12,1,5611,2012-12-14
12,1,5047,2012-12-15
12,1,3786,2012-12-16
12,1,4585,2012-12-17
12,1,5557,2012-12-18
12,1,5267,2012-12-19
12,1,4128,2012-12-20
12,1,3623,2012-12-21
12,1,1749,2012-12-22
12,1,1787,2012-12-23
12,1,920,2012-12-24
12,1,1013,2012-12-25
12,1,441,2012-12-26
12,1,2114,2012-12-27
12,1,3095,2012-12-28
12,1,1341,2012-12-29
12,1,1796,2012-12-30
12,1,2729,2012-12-31
